Epoch;Iteration;Learning Rate;Training-loss;Test-loss;Validation-loss;Training-accuracy;Test-accuracy;Validation-Accuracy
241;-1;0.0012960333045454544;0.0;0.0;0.10553130206383861;0.0;0.0;0.465095192193985
242;-1;0.0012945456999999998;0.0;0.0;0.10552885347957554;0.0;0.0;0.465095192193985
243;-1;0.0012930580954545455;0.0;0.0;0.10552642624802104;0.0;0.0;0.46600180864334106
244;-1;0.0012915704909090909;0.0;0.0;0.10552401996945404;0.0;0.0;0.46600180864334106
245;-1;0.0012900828863636363;0.0;0.0;0.10552163425312312;0.0;0.0;0.46600180864334106
246;-1;0.0012885952818181817;0.0;0.0;0.10551926871701148;0.0;0.0;0.46600180864334106
247;-1;0.001287107677272727;0.0;0.0;0.10551692298761356;0.0;0.0;0.465095192193985
248;-1;0.0012856200727272727;0.0;0.0;0.10551459669971888;0.0;0.0;0.465095192193985
249;-1;0.001284132468181818;0.0;0.0;0.10551228949620302;0.0;0.0;0.465095192193985
250;-1;0.0012826448636363635;0.0;0.0;0.10551000102782533;0.0;0.0;0.465095192193985
251;-1;0.001281157259090909;0.0;0.0;0.10550773095303248;0.0;0.0;0.4641885757446289
252;-1;0.0012796696545454545;0.0;0.0;0.10550547893776692;0.0;0.0;0.4641885757446289
253;-1;0.00127818205;0.0;0.0;0.10550324465528291;0.0;0.0;0.4632819592952728
254;-1;0.0012766944454545453;0.0;0.0;0.10550102778596465;0.0;0.0;0.4632819592952728
255;-1;0.0012752068409090907;0.0;0.0;0.10549882801715293;0.0;0.0;0.4632819592952728
256;-1;0.0012737192363636363;0.0;0.0;0.10549664504297278;0.0;0.0;0.4632819592952728
257;-1;0.0012722316318181817;0.0;0.0;0.10549447856416903;0.0;0.0;0.4641885757446289
258;-1;0.0012707440272727273;0.0;0.0;0.1054923282879448;0.0;0.0;0.4641885757446289
259;-1;0.0012692564227272727;0.0;0.0;0.10549019392780339;0.0;0.0;0.4641885757446289
260;-1;0.0012677688181818181;0.0;0.0;0.10548807520339651;0.0;0.0;0.4641885757446289
261;-1;0.0012662812136363636;0.0;0.0;0.10548597184037561;0.0;0.0;0.4641885757446289
262;-1;0.001264793609090909;0.0;0.0;0.10548388357024717;0.0;0.0;0.4632819592952728
263;-1;0.0012633060045454544;0.0;0.0;0.10548181013023007;0.0;0.0;0.4632819592952728
264;-1;0.0012618184;0.0;0.0;0.10547975126312079;0.0;0.0;0.4632819592952728
265;-1;0.0012603307954545454;0.0;0.0;0.10547770671715874;0.0;0.0;0.4632819592952728
266;-1;0.001258843190909091;0.0;0.0;0.10547567624589553;0.0;0.0;0.4632819592952728
267;-1;0.0012573555863636364;0.0;0.0;0.10547365960806983;0.0;0.0;0.4632819592952728
268;-1;0.0012558679818181818;0.0;0.0;0.10547165656748254;0.0;0.0;0.4632819592952728
269;-1;0.0012543803772727272;0.0;0.0;0.10546966689287834;0.0;0.0;0.4632819592952728
270;-1;0.0012528927727272726;0.0;0.0;0.10546769035782722;0.0;0.0;0.4632819592952728
271;-1;0.001251405168181818;0.0;0.0;0.1054657267406112;0.0;0.0;0.4632819592952728
272;-1;0.0012499175636363636;0.0;0.0;0.10546377582411401;0.0;0.0;0.4632819592952728
273;-1;0.001248429959090909;0.0;0.0;0.10546183739571133;0.0;0.0;0.4632819592952728
274;-1;0.0012469423545454546;0.0;0.0;0.10545991124716797;0.0;0.0;0.4632819592952728
275;-1;0.00124545475;0.0;0.0;0.10545799717453327;0.0;0.0;0.4632819592952728
276;-1;0.0012439671454545454;0.0;0.0;0.10545609497804236;0.0;0.0;0.4632819592952728
277;-1;0.0012424795409090908;0.0;0.0;0.10545420446201749;0.0;0.0;0.4632819592952728
278;-1;0.0012409919363636362;0.0;0.0;0.10545232543477605;0.0;0.0;0.4632819592952728
279;-1;0.0012395043318181819;0.0;0.0;0.10545045770853433;0.0;0.0;0.4632819592952728
280;-1;0.0012380167272727273;0.0;0.0;0.10544860109932071;0.0;0.0;0.4632819592952728
281;-1;0.0012365291227272727;0.0;0.0;0.1054467554268864;0.0;0.0;0.4632819592952728
282;-1;0.001235041518181818;0.0;0.0;0.10544492051461993;0.0;0.0;0.4632819592952728
